"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 05:20:31 GMT 2024","Fri Jan 05 05:20:34 GMT 2024","3373","tests","test_login","TestLogin","","","test_register",""
"passed","Fri Jan 05 05:20:37 GMT 2024","Fri Jan 05 05:20:38 GMT 2024","1678","tests","test_login","TestLogin","","","test_login_with_valid_credentials",""
"passed","Fri Jan 05 05:20:48 GMT 2024","Fri Jan 05 05:20:48 GMT 2024","685","tests","test_products","TestProducts","","","test_all_products_and_product_details",""
"passed","Fri Jan 05 05:20:40 GMT 2024","Fri Jan 05 05:20:41 GMT 2024","480","tests","test_login","TestLogin","","","test_login_with_invalid_credentials",""
"passed","Fri Jan 05 05:20:53 GMT 2024","Fri Jan 05 05:20:55 GMT 2024","2104","tests","test_subscribe","TestSubscribe","","","test_subscribe",""
"passed","Fri Jan 05 05:20:50 GMT 2024","Fri Jan 05 05:20:51 GMT 2024","642","tests","test_products","TestProducts","","","test_search_product",""
"broken","Fri Jan 05 05:19:58 GMT 2024","Fri Jan 05 05:20:29 GMT 2024","30577","tests","test_contact_us","TestContactUs","","","test_contact_us",""
"passed","Fri Jan 05 05:20:46 GMT 2024","Fri Jan 05 05:20:46 GMT 2024","473","tests","test_login","TestLogin","","","test_registration_with_existing_email",""
"passed","Fri Jan 05 05:20:57 GMT 2024","Fri Jan 05 05:20:57 GMT 2024","581","tests","test_test_cases","TestTestCases","","","test_verify_test_cases_page",""
"passed","Fri Jan 05 05:20:42 GMT 2024","Fri Jan 05 05:20:43 GMT 2024","1072","tests","test_login","TestLogin","","","test_logout",""
